text,label
"Lights don't work, but battery heats up.  If I could give no stars I would. The lights didn't light up, but if you turn it on the battery pack heats up like crazy. Even if they worked, the batteries got hot way too fast. I'm extremely disappointed.    ",0
May gasgas yung takip nung bote considering na naka box sya so dapat walang scratches unless nabukasan na sya.,0
Sana seller bago man lang denilever yung item dapat nagtanung muna kayo hindi yung kayo ang namili ng kulay.,0
"I really love it. I Will definitely order again timing talaga dahil dumating cya, mismo sa araw nang birthday ko kaya para naring birthday gift ko ito",1
May crack ang light at sira ang on/off button. Buti nalang naayus ko pa.,0
Perfect  Perfect. A little large for my son but exactly what we were looking for.    ,1
"Maganda sya nagustohan ko talaga Nabili ko sya ng 5,710 nong 11.11 Na ship agad ng seller Dumating agad after 2 days nilagyan agad namin nag yelo agad din good for family of 3 stocks ng pang 1 week na food thankyou so much seller The best talaga to sana mag tagal",1
"Di man lang nilagay sa kahon poor packaging, sinabi ko na ilagay sa isang kahon para di yupi yupi pag dating kaso di ginawa kaya pasensya na sana e improve nyo na thanks",0
"maganda naman, medyo matagal bago nadeliver pero okay lang. ganda rin ng packaging",1
It fits!!!!  Perfect fit and at a GREAT price!!!!!    ,1
"Cut More than 1000 Times Cleanly  This cutter has lasted more than a year of daily use. It is better than all of the other cutters sold on Amazon. (I tried them all.) It cuts everything from 21 mg pills to 1200 mg pills cleanly each time. It ended up being more than 1,000 pills that I cut before the hinge started to weaken. I'm definitely buying more of this cutter.    ",1
thank u seller d mo ko binigo ilang besis kuna order nito salamat,1
Terrible  Terrible doesn't work well at all! It cuts it in pieces doesn't look good at all! Bummed bc my daughter loves unicorns    ,0
"Better than expected!  These shoes are awesome for the price! I needed some anti-slip/waterproof work shoes in a hurry so I ordered these. They get the job done, and are super cute for being work shoes! Perfect fit and very comfy. Definitely recommend.    ",1
Just what I needed!  These skewers were perfect for my Caprese Kabobs!    ,1
Okay yong product na stamp madali lang siya gamitin ang gawin molang ay kunting pasensya kasi kapag nagka mali ka uulitin mo nanaman,1
Salamat salamat salamat seller nagustuhan Ng anak ko at maganda,0
"Sorry Po sa late rate Po nicheck ko pa Po kasi if okie sya Yun quality nya. Maganda nmn Po Yun lng mat time n naghahang Po, na tumagal Po Ang paggamit ko Dito. Thanks Po and God bless. 2nd buy ko na sa store nyo",0
great variety!  I bought these as snacks and my whole family had a favorite in the variety box. its the perfect mix!    ,1
"Very disappointed  Tiny packages, tiny portions,. Expensive!! Very disappointed    ",0
Video is not related pero galing ni seller. Update sya sa mga item goods naman lahat Rechargeable batteries goods. Yung ilaw ok din ang liit hahahaha,1
Wag kayu dto bibili pota scammer to pota WALANG kwentang seller BWESIT ka sana mamatay kanalang pota mora nga pero sera naman ung mga hndi mag connect sa bluettoth. Sana hndi kayu dto mag bibili Ng mga items nya pota ka sayang lang Pera ko Sayu BWESIT ka,0
Nerecieve ko na. ndi gumagana o sira ung pang7th na socket.,0
If only the color was what was shown- Sticky to lips  better products out there    ,0
Never Received!  Ordered this product waited a week and a half never received it. Delivery date kept getting pushed back. Which is sad never even received a tracking number. Amazon took care of me but wanted to warn others just Incase you order and don't receive the product.    ,0
Great book  I can't believe this book does not get more reviews. I have lots of books and programs to try to learn Spanish. This and Spanish with Paul are the two best that I've come across    ,1
Maganda naman dko palang nasusubukan naway maging ok pag ginamit.,1
"As advertised  Good quality, arrived quickly in good shape, no surprises.    ",1
"Medyo natapon po yung laman nung body wash, di po maayos pagkakabalot buti nalang meron po free refill hehe",0
Maliit lg pala sya kala ko malaki sayang 110,0
